task,base_task,requested_length,sample_id,method,executed_path,configured_sampled_quantile_sample_count,configured_index_bits_per_token,index_build_seconds,qk_prebuild_seconds,qk_prebuild_layers,qk_batched_allocation_layers,packed_qmse_sample_count,packed_qmse_value_sketch_rank,packed_qmse_value_sketch_bits,packed_qmse_value_sketch_executed,packed_qmse_value_sketch_tail_alpha,packed_qmse_debug_value_sketch_disabled,sampled_candidate_overflow_fraction,sampled_quantile_fallback,metric,score,prediction,answers,prompt_tokens,prefix_tokens,suffix_tokens,generated_tokens,configured_attention_fraction,configured_attention_tokens,configured_candidate_fraction,configured_projection_dim,configured_score_mode,attention_link_ratio,exact_qk_ratio,estimated_retained_mass,temporal_reuse_rate,gpu_kv_storage_ratio,scan_dimension_fraction,diagnostics_enabled,prefill_seconds,query_seconds,decode_seconds,online_seconds,total_seconds
niah_single_1_4096,niah_single_1,4096,niah_single_1_4096_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,The special magic number for jittery-hospital mentioned in the provided text is: 5437923.,"[""5437923""]",3688,3650,38,21,1.0,3650,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,1.3641613274812698,0.05363052152097225,0.696864765137434,0.7504952866584063,2.114656614139676
niah_single_1_4096,niah_single_1,4096,niah_single_1_4096_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1024,306.0,0.0,0.37970997765660286,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,The special magic number for jittery-hospital mentioned in the provided text is: 5437923.,"[""5437923""]",3688,3650,38,21,0.07013698630136986,256,0.07013698630136986,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.06967908872073708,0.0,0.0,0.0,1.0,0.0,True,1.033332104794681,0.4237404251471162,1.7533340957015753,2.1770745208486915,3.2104066256433725
niah_single_1_8192,niah_single_1,8192,niah_single_1_8192_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,2921859,"[""2921859""]",7885,7849,36,3,1.0,7849,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,2.5337589755654335,0.05939418077468872,0.11460857838392258,0.1740027591586113,2.707761734724045
niah_single_1_8192,niah_single_1,8192,niah_single_1_8192_1,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1280,306.0,0.0,0.26830798108130693,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,2921859,"[""2921859""]",7885,7849,36,3,0.06000764428589629,471,0.06000764428589629,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.05969195970971764,0.0,0.0,0.0,1.0,0.0,True,2.54151754360646,0.3280474469065666,0.7764233350753784,1.104470781981945,3.645988325588405
niah_single_1_8192,niah_single_1,8192,niah_single_1_8192_9,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,7089806,"[""7089806""]",7885,7849,36,3,1.0,7849,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,2.5474174870178103,0.06000258307904005,0.11501128505915403,0.17501386813819408,2.7224313551560044
niah_single_1_8192,niah_single_1,8192,niah_single_1_8192_9,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1280,306.0,0.0,0.26513930037617683,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,7089806,"[""7089806""]",7885,7849,36,3,0.06000764428589629,471,0.06000764428589629,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.0601673621238059,0.0,0.0,0.0,1.0,0.0,True,2.554701728746295,0.32487799134105444,0.7682697381824255,1.09314772952348,3.647849458269775
niah_single_1_16384,niah_single_1,16384,niah_single_1_16384_7,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,4426900,"[""4426900""]",15688,15650,38,3,1.0,15650,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,6.176412808708847,0.09441075846552849,0.17706463113427162,0.2714753895998001,6.447888198308647
niah_single_1_16384,niah_single_1,16384,niah_single_1_16384_7,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1280,306.0,0.0,0.27303193788975477,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,4426900,"[""4426900""]",15688,15650,38,3,0.06,939,0.06,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.059920752099400856,0.0,0.0,0.0,1.0,0.0,True,6.2292453069239855,0.36842076387256384,0.7913277382031083,1.1597485020756721,7.388993808999658
niah_single_1_32768,niah_single_1,32768,niah_single_1_32768_5,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,3530518,"[""3530518""]",32485,32449,36,3,1.0,32449,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,18.304474093019962,0.17443028930574656,0.3068817863240838,0.48131207562983036,18.785786168649793
niah_single_1_32768,niah_single_1,32768,niah_single_1_32768_5,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1792,306.0,0.0,0.2787321824580431,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,3530518.,"[""3530518""]",32485,32449,36,4,0.03944651607137354,1280,0.03944651607137354,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.038338032901647605,0.0,0.0,0.0,1.0,0.0,True,19.901786622591317,0.4589600060135126,0.911540811881423,1.3705008178949356,21.272287440486252
niah_single_2_4096,niah_single_2,4096,niah_single_2_4096_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,The special magic number for guiltless-clutch mentioned in the provided text is: 8072684.,"[""8072684""]",3701,3663,38,21,1.0,3663,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,1.1397003289312124,0.04906500969082117,0.7042887583374977,0.7533537680283189,1.8930540969595313
niah_single_2_4096,niah_single_2,4096,niah_single_2_4096_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,1024,306.0,0.0,0.2635579062625766,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,The special magic number for guiltless-clutch mentioned in the provided text is: 8072684.,"[""8072684""]",3701,3663,38,21,0.06988806988806989,256,0.06988806988806989,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.06988569014576998,0.0,0.0,0.0,1.0,0.0,True,1.230622699484229,0.3132388424128294,1.6537403035908937,1.9669791460037231,3.1976018454879522
niah_single_2_8192,niah_single_2,8192,niah_single_2_8192_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,5635017,"[""5635017""]",8079,8037,42,3,1.0,8037,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,3.078595442697406,0.07118113990873098,0.12882858980447054,0.20000972971320152,3.2786051724106073
