task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
0,baseline,K000018-2P8LC9E,18,A,C,0,-2.4800562858581543,-3.1284937858581543,-0.5503688454627991,-3.2613062858581543
0,qabs8cand5reuse,K000018-2P8LC9E,18,A,C,0,-3.212193250656128,-2.345005750656128,-0.5871932506561279,-3.649693250656128
1,baseline,K001037-KS2WHVF,37,C,C,1,-3.060326099395752,-1.8493884801864624,-1.0056384801864624,-2.841576099395752
1,qabs8cand5reuse,K001037-KS2WHVF,37,C,C,1,-2.55086350440979,-2.18367600440979,-1.98055100440979,-2.83211350440979
2,baseline,K002006-2J6SA2E,6,B,B,1,-4.7931694984436035,-0.1525445282459259,-5.5900444984436035,-3.8244194984436035
2,qabs8cand5reuse,K002006-2J6SA2E,6,B,B,1,-4.366851329803467,-0.4059140384197235,-4.937163829803467,-2.843414068222046
3,baseline,K003036-FLS4DUL,36,C,C,1,-2.5538265705108643,-5.131951332092285,-0.4288265109062195,-4.163201332092285
3,qabs8cand5reuse,K003036-FLS4DUL,36,C,C,1,-4.284596920013428,-4.198659420013428,-0.8549094200134277,-2.4486594200134277
4,baseline,K004031-KHVV7J3,31,C,C,1,-3.6097137928009033,-2.9769012928009033,-0.5628387928009033,-3.7112762928009033
4,qabs8cand5reuse,K004031-KHVV7J3,31,C,C,1,-3.362482786178589,-2.706232786178589,-1.0109202861785889,-3.674982786178589
5,baseline,K005061-QJJJNQA,61,C,C,1,-2.3528618812561035,-4.0481743812561035,-0.4778618812561035,-4.8997368812561035
5,qabs8cand5reuse,K005061-QJJJNQA,61,C,C,1,-2.9338889122009277,-2.0667014122009277,-1.8167014122009277,-3.2151389122009277
6,baseline,K006030-Z2TJF4A,30,D,C,0,-2.212205171585083,-2.688767671585083,-0.962205171585083,-1.805955171585083
6,qabs8cand5reuse,K006030-Z2TJF4A,30,D,D,1,-2.4139461517333984,-2.2342586517333984,-2.3201961517333984,-1.8358211517333984
7,baseline,K007013-SM4PKZY,13,D,D,1,-4.575051307678223,-4.535988807678223,-4.614113807678223,-0.2781761884689331
7,qabs8cand5reuse,K007013-SM4PKZY,13,D,D,1,-3.554558515548706,-2.882683515548706,-3.054558515548706,-1.117058515548706
8,baseline,K008035-RUMSERU,35,C,C,1,-3.4619693756103516,-5.047906875610352,-0.42290693521499634,-3.7510318756103516
8,qabs8cand5reuse,K008035-RUMSERU,35,C,C,1,-2.6179776191711426,-4.133602619171143,-1.5164151191711426,-2.7117276191711426
9,baseline,K009063-6ZRW3NB,63,C,C,1,-4.541294574737549,-5.900669574737549,-0.22098228335380554,-5.510044574737549
9,qabs8cand5reuse,K009063-6ZRW3NB,63,C,C,1,-3.7437071800231934,-4.298394680023193,-0.6812071204185486,-3.7202696800231934
10,baseline,K010037-R23G8YM,37,C,D,0,-4.2845330238342285,-3.7142202854156494,-3.4642202854156494,-0.3548453152179718
10,qabs8cand5reuse,K010037-R23G8YM,37,C,D,0,-3.7163658142089844,-3.1851158142089844,-2.9194908142089844,-0.7866781949996948
11,baseline,K011051-8W3JEGZ,51,D,D,1,-4.120831489562988,-4.183331489562988,-1.2614564895629883,-1.1208314895629883
11,qabs8cand5reuse,K011051-8W3JEGZ,51,D,C,0,-3.071622371673584,-3.220059871673584,-1.813809871673584,-1.985684871673584
12,baseline,K012000-RWG4MET,0,D,A,0,-1.3850560188293457,-3.1272435188293457,-2.7288060188293457,-1.6819310188293457
12,qabs8cand5reuse,K012000-RWG4MET,0,D,D,1,-2.1509761810302734,-3.4634761810302734,-3.0962886810302734,-1.1119136810302734
13,baseline,K013007-58DUDVZ,7,B,D,0,-3.606779098510742,-2.692716598510742,-2.380216598510742,-0.6380292177200317
13,qabs8cand5reuse,K013007-58DUDVZ,7,B,D,0,-3.239176034927368,-2.457926034927368,-2.481363534927368,-1.4969885349273682
14,baseline,K014003-2U5GW5H,3,B,B,1,-3.5456554889678955,-0.5144054889678955,-3.0144054889678955,-4.561280250549316
14,qabs8cand5reuse,K014003-2U5GW5H,3,B,B,1,-2.895811080932617,-0.8723735809326172,-2.927061080932617,-4.231748580932617
15,baseline,K015057-EBMXUUG,57,A,A,1,-1.2126429080963135,-4.134517669677734,-2.0095179080963135,-4.486080169677734
15,qabs8cand5reuse,K015057-EBMXUUG,57,A,C,0,-4.068530559539795,-3.365405559539795,-1.506030559539795,-2.443530559539795
16,baseline,K016004-F4ZGTMV,4,C,B,0,-3.7562031745910645,-0.9124531745910645,-1.1780781745910645,-5.0530781745910645
16,qabs8cand5reuse,K016004-F4ZGTMV,4,C,B,0,-4.021378517150879,-1.076066017150879,-1.310441017150879,-4.662003517150879
17,baseline,K017052-WJK6F93,52,C,B,0,-1.673850178718567,-0.7832251787185669,-2.7754125595092773,-4.931662559509277
17,qabs8cand5reuse,K017052-WJK6F93,52,C,A,0,-1.3358899354934692,-2.0312023162841797,-2.8124523162841797,-4.44526481628418
