variant,task_id,mode,forced_spans,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
compact_kv,0,baseline,,K000001-5SZ244Y,1,B,B,1,-2.1120553016662598,-1.2683051824569702,-2.4870553016662598,-3.9636178016662598
compact_kv,0,qabs8cand5reuse,,K000001-5SZ244Y,1,B,B,1,-2.930678367614746,-0.9775533676147461,-1.821303367614746,-4.024428367614746
compact_kv,0,oracle_key_label,"key,label",K000001-5SZ244Y,1,B,B,1,-3.2714738845825195,-0.8808488845825195,-1.7558488845825195,-4.5214738845825195
compact_kv,0,oracle_record,record,K000001-5SZ244Y,1,B,B,1,-3.2486989498138428,-0.8580739498138428,-1.7955739498138428,-4.545574188232422
compact_kv,1,baseline,,K001000-NBP42RT,0,A,A,1,-1.292926549911499,-4.433551788330078,-3.652301549911499,-3.972614049911499
compact_kv,1,qabs8cand5reuse,,K001000-NBP42RT,0,A,A,1,-0.9812418222427368,-3.9187417030334473,-3.0906167030334473,-2.4343667030334473
compact_kv,1,oracle_key_label,"key,label",K001000-NBP42RT,0,A,A,1,-0.8700972199440002,-4.3075971603393555,-3.1669721603393555,-3.1669721603393555
compact_kv,1,oracle_record,record,K001000-NBP42RT,0,A,A,1,-1.0277405977249146,-4.113677978515625,-3.246490478515625,-2.496490478515625
compact_kv,2,baseline,,K002002-DR2DN2C,2,C,C,1,-4.308850288391113,-4.355725288391113,-0.48072510957717896,-3.215100049972534
compact_kv,2,qabs8cand5reuse,,K002002-DR2DN2C,2,C,C,1,-1.9439878463745117,-3.4049253463745117,-1.5377378463745117,-3.0689878463745117
compact_kv,2,oracle_key_label,"key,label",K002002-DR2DN2C,2,C,C,1,-4.556408882141113,-4.900158882141113,-0.3923465311527252,-4.259533882141113
compact_kv,2,oracle_record,record,K002002-DR2DN2C,2,C,C,1,-4.765469074249268,-4.960781574249268,-0.34359416365623474,-4.234219074249268
compact_kv,3,baseline,,K003005-BJHSYEP,5,D,A,0,-1.4905279874801636,-2.451465606689453,-3.092090606689453,-3.232715606689453
compact_kv,3,qabs8cand5reuse,,K003005-BJHSYEP,5,D,A,0,-1.204351782798767,-2.1262269020080566,-2.4699769020080566,-3.1340394020080566
compact_kv,3,oracle_key_label,"key,label",K003005-BJHSYEP,5,D,A,0,-1.1687034368515015,-2.137453556060791,-3.504641056060791,-1.9812034368515015
compact_kv,3,oracle_record,record,K003005-BJHSYEP,5,D,A,0,-1.1445777416229248,-2.222702741622925,-3.488327741622925,-1.9570777416229248
compact_kv,4,baseline,,K004007-TQP5JHS,7,D,D,1,-4.31425142288208,-4.55643892288208,-3.05643892288208,-0.4626888036727905
compact_kv,4,qabs8cand5reuse,,K004007-TQP5JHS,7,D,D,1,-3.1109752655029297,-3.5953502655029297,-2.7203502655029297,-0.5641002655029297
compact_kv,4,oracle_key_label,"key,label",K004007-TQP5JHS,7,D,D,1,-4.464405536651611,-5.440968036651611,-4.464405536651611,-0.21440531313419342
compact_kv,4,oracle_record,record,K004007-TQP5JHS,7,D,D,1,-3.9325547218322754,-4.643492221832275,-4.487242221832275,-0.22942973673343658
compact_kv,5,baseline,,K005008-8SAQB73,8,C,C,1,-2.4037420749664307,-3.1068670749664307,-2.0912420749664307,-4.419366836547852
compact_kv,5,qabs8cand5reuse,,K005008-8SAQB73,8,C,B,0,-2.0590243339538574,-1.434024453163147,-2.2777743339538574,-3.1840243339538574
compact_kv,5,oracle_key_label,"key,label",K005008-8SAQB73,8,C,C,1,-2.8756918907165527,-2.2975668907165527,-0.7038170099258423,-4.578816890716553
compact_kv,5,oracle_record,record,K005008-8SAQB73,8,C,C,1,-2.9766926765441895,-2.9298176765441895,-0.6095052361488342,-4.1016926765441895
compact_kv,6,baseline,,K006014-P5JCY7U,14,D,D,1,-4.204648017883301,-4.845273017883301,-3.89996075630188,-0.4937106668949127
compact_kv,6,qabs8cand5reuse,,K006014-P5JCY7U,14,D,D,1,-2.5684823989868164,-2.6778573989868164,-1.9122323989868164,-1.0997323989868164
